client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
4f3bfb22903a52b06cda329af8c635e32e3b7fe64f5204e6fbe6e202f9e11ac50e9cc64e6983f0c6cd2db81a8c6bef07157da3ab63455ac3021fc06b4ec53b4e	common_voice_mr_30585613.mp3	6523a8b48717cd5dbf7909e824b7d5ad9914aade33ebea7218c81ae64e51838f	आईचे आजारपण वाढत चालले, तसतशी मथीही नीट खातपीतनाशी झाली.		2	0	teens	female_feminine			mr	
4f3bfb22903a52b06cda329af8c635e32e3b7fe64f5204e6fbe6e202f9e11ac50e9cc64e6983f0c6cd2db81a8c6bef07157da3ab63455ac3021fc06b4ec53b4e	common_voice_mr_30585614.mp3	73809b755d8f20a36e6ba5b97b42a9160bf561cb2e53f59e8f5b42c3c662f0eb	त्याची शरीरयष्टी मजबूत व उंची भरपूर असून तो उत्तम दर्जाचा लाकूडतोड्या व कुस्तीपटू होता.		2	0	teens	female_feminine			mr	
4f3bfb22903a52b06cda329af8c635e32e3b7fe64f5204e6fbe6e202f9e11ac50e9cc64e6983f0c6cd2db81a8c6bef07157da3ab63455ac3021fc06b4ec53b4e	common_voice_mr_30585616.mp3	604b354d5287a09501753f84ad5f70bf03a0cf4138506e09457d4d6b633e3063	काही कालाने जपानने जादा कुमक मागवुन प्रतिकार मोडुन काढला व हजारो युद्धबंदी पकडले.		2	0	teens	female_feminine			mr	
4f3bfb22903a52b06cda329af8c635e32e3b7fe64f5204e6fbe6e202f9e11ac50e9cc64e6983f0c6cd2db81a8c6bef07157da3ab63455ac3021fc06b4ec53b4e	common_voice_mr_30588122.mp3	891aee343795ed7490e897e42641f5de1f83fc238380bbd77a2c94e89c866f9f	जसाच्या तसा भस्ममय देह होता.		2	1	teens	female_feminine			mr	
4f3bfb22903a52b06cda329af8c635e32e3b7fe64f5204e6fbe6e202f9e11ac50e9cc64e6983f0c6cd2db81a8c6bef07157da3ab63455ac3021fc06b4ec53b4e	common_voice_mr_30588123.mp3	7e00ddf0d1dec126318f91fdd0b7140b914c82520ea539a9c4a16537eac3dfa0	क्षेत्रफळाच्या दृष्टीने तमिळनाडूचा भारतात अकरावा क्रमांक लागतो तर लोकसंख्येनुसार सातवा क्रमांक लागतो.		2	0	teens	female_feminine			mr	
4f3bfb22903a52b06cda329af8c635e32e3b7fe64f5204e6fbe6e202f9e11ac50e9cc64e6983f0c6cd2db81a8c6bef07157da3ab63455ac3021fc06b4ec53b4e	common_voice_mr_30588130.mp3	5d6946d4f847bb1339424fa010eebcdaa8fef4d0f7c2d962db3c41608320dc86	शंतनूशी विवाह होण्याआधी तिला ऋषी पराशर यांच्याकडून एक मुलगा होतो.		2	0	teens	female_feminine			mr	
4f3bfb22903a52b06cda329af8c635e32e3b7fe64f5204e6fbe6e202f9e11ac50e9cc64e6983f0c6cd2db81a8c6bef07157da3ab63455ac3021fc06b4ec53b4e	common_voice_mr_30588162.mp3	6682019d359bdc2043b2b549603b3a9b34f78bafec06385f431c468d5fa5251e	रशियात राष्ट्रपती हा राष्ट्रप्रमुख, तर पंतप्रधान हा कार्यकारी प्रमुख असतो.		2	0	teens	female_feminine			mr	
4f3bfb22903a52b06cda329af8c635e32e3b7fe64f5204e6fbe6e202f9e11ac50e9cc64e6983f0c6cd2db81a8c6bef07157da3ab63455ac3021fc06b4ec53b4e	common_voice_mr_30588163.mp3	60a94a1a724c08d0716f86e514a7a67c113e9105b92bb6a44344aee407233ad5	अनेक प्रांत या साम्राज्यात असले तरी या साम्राज्याची ख्रिस्ती धर्म म्हणून ओळख होती.		2	0	teens	female_feminine			mr	
4f3bfb22903a52b06cda329af8c635e32e3b7fe64f5204e6fbe6e202f9e11ac50e9cc64e6983f0c6cd2db81a8c6bef07157da3ab63455ac3021fc06b4ec53b4e	common_voice_mr_30588196.mp3	4e1b44b44b7f226cc7222a3ebbd989298b8d64f90b9f84fe25ed0b29c0f99ac8	कुरुक्षेत्रातील युद्धात, कृष्ण व अर्जुन यांच्या सल्ल्याने, धृष्टद्युम्नास पांडवसेनेचा सरसेनापती बनविण्यात येते.		2	0	teens	female_feminine			mr	
4f3bfb22903a52b06cda329af8c635e32e3b7fe64f5204e6fbe6e202f9e11ac50e9cc64e6983f0c6cd2db81a8c6bef07157da3ab63455ac3021fc06b4ec53b4e	common_voice_mr_30588197.mp3	5afb19e38a80a97a5fed89e4838cd29cdf852a9174f6f77dac4ea7893b3461c0	म्हणून ते त्यांचा बालपणीचा मित्र द्रुपद पांचाल देशाचा राजा ह्याच्याकडे साहाय्याकरिता गेले.		2	0	teens	female_feminine			mr	
